,id,name,neighbourhood,suburb,state,postcode,latf,longf,tunnel,latL,longL,type,latM,longM,oneway,bridge,total_street_distance,nodes_number,number_of_segments,segment_distance,segment_nodes_number,places_cluster_number,places_cluster_lat,places_cluster_long,incidents_cluster_number,incidenst_cluster_latup,incidents_cluster_longup,icndienst_cluster_latdown,incidnets_cluster_longdown
0,692581409,طريق المستقبل,NoData,6th of October,Giza Governorate,1066047247,29.9581751,30.894729700000003,no,29.950430800000003,30.900943800000004,residential,29.956433500000003,30.895791600000003,yes,no,1255.3375956479035,33,2,946.810264179006,30,4,29.953842514285718,30.907902064285718,8,29.994341143478266,30.90159330869565,29.924341143478266,30.83159330869565
1,248187269,شارع عباس العقاد,Neighborhood 12,6th of October,Giza Governorate,12563,29.9474973,30.9114536,no,29.939679700000003,30.9170896,residential,29.944121999999997,30.914011,yes,no,1817.5751707512688,55,2,988.4146203439062,26,4,29.953842514285718,30.907902064285718,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
2,75609339,شارع أنور السادات,Block 5,6th of October,Giza Governorate,2500,29.958570299999998,31.055380699999997,no,29.9664187,31.052325399999997,residential,29.9611549,31.052962400000002,yes,no,3711.3997027624323,130,4,998.1667876043628,47,12,29.95607937368421,31.065016821052627,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
3,75609339,شارع أنور السادات,Block 5,6th of October,Giza Governorate,2500,29.974614000000003,31.050879600000002,no,29.9742735,31.0423891,residential,29.9768234,31.045705699999996,yes,no,3711.3997027624323,130,4,988.5747002954804,32,10,29.96212932,31.03320874,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
4,98440022,Abd Al Sabour Shahin Street,Area G,Al-Ashgar Suburb,Giza Governorate,12559,29.9876249,31.0929995,no,29.977593900000002,31.091818,residential,29.9835695,31.092497899999998,no,no,1121.2516716391874,12,1,843.8060751934622,12,45,29.97324090666667,31.09997269333333,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
5,98425575,شارع جرادينا,Area E,Al-Ashgar Suburb,Giza Governorate,12559,29.971243400000002,31.1077631,no,29.9712727,31.1085646,residential,29.971243400000002,31.1077631,no,no,1137.623444265046,15,2,163.83832604001137,3,45,29.97324090666667,31.09997269333333,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
6,98489613,شارع الضغط العالي,Area H,Al-Ashgar Suburb,Giza Governorate,12559,29.978285999999997,31.0993002,no,29.968764,31.100499900000003,residential,29.9734578,31.0999085,no,no,2181.1521744774523,14,2,847.9750048847937,9,45,29.97324090666667,31.09997269333333,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
7,30072295,شارع مستشفي الصدر,NoData,Been Al-Sarayat,Giza Governorate,12552,29.9919994,31.186894399999996,no,29.9941661,31.197206199999997,residential,29.993269199999997,31.1934355,no,no,1654.4354462377146,71,2,992.6385798817972,37,8,29.993542444444447,31.1829349,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
8,680829790,شارع يوسف دسوقي,NoData,Bulaq Al-Dakrour,Giza Governorate,12942,30.0137507,31.1629635,no,30.021666600000003,31.1664695,residential,30.018478,31.166729999999998,no,no,1715.2143757148556,57,2,992.0281628346854,35,52,30.012540852380948,31.170507119047624,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
9,46892867,شارع العشرين,NoData,Bulaq Al-Dakrour,Giza Governorate,12621,30.0303296,31.183429200000003,no,30.0212265,31.184386600000003,residential,30.024017999999998,31.1840658,yes,no,1688.1726805892138,38,2,972.2899109171449,18,43,30.02700404545455,31.188814299999997,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
10,687398438,شارع فوزي أبو طالب,NoData,Bulaq Al-Dakrour,Giza Governorate,12945,30.0319339,31.1645832,no,30.0392615,31.170956800000003,residential,30.035500199999998,31.1674625,no,no,1769.7798202678687,56,2,995.1420497309143,28,2,30.03441360333333,31.1664031,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
11,680103214,شارع الرشاح,NoData,Bulaq Al-Dakrour,Giza Governorate,12885,30.0448387,31.1619848,no,30.0457477,31.151591200000002,residential,30.0454767,31.1570897,no,no,2458.727408620647,45,3,665.5242295643909,22,44,30.042767623076926,31.145372923076927,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
12,680103214,شارع الرشاح,NoData,Bulaq Al-Dakrour,Giza Governorate,12885,30.0459821,31.1421995,no,30.0460053,31.136602399999997,residential,30.045867200000004,31.138193599999997,no,no,2458.727408620647,45,3,804.4386129841107,18,44,30.042767623076926,31.145372923076927,3,30.049311883,31.154097691,29.979311883,31.084097691
13,98489680,شارع الدكتور ماجد محمود توفيق,Area P,Ebni Betak 3,Giza Governorate,12559,29.9596789,31.092573699999996,no,29.9679542,31.093643800000002,residential,29.963090299999998,31.0929942,no,no,2937.059412190072,29,4,928.3500330336774,11,31,29.95541335333333,31.09261264,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
14,98489680,شارع الدكتور ماجد محمود توفيق,Area P,Ebni Betak 3,Giza Governorate,12559,29.9760962,31.0942778,no,29.976961300000003,31.0943203,residential,29.976961300000003,31.0943203,no,no,2937.059412190072,29,4,231.66700886205658,2,45,29.97324090666667,31.09997269333333,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
15,690167307,شارع 9,Area C,Ebni Betak 3,Giza Governorate,12559,29.9623592,31.1081649,no,29.9692518,31.107861600000003,residential,29.9664094,31.108386300000003,no,no,2908.399519858336,53,4,994.944094607525,20,45,29.97324090666667,31.09997269333333,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
16,690167307,شارع 9,Area C,Ebni Betak 3,Giza Governorate,12559,29.977433899999998,31.111935499999998,no,29.9777065,31.111998800000002,residential,29.9774718,31.111960999999997,no,no,2908.399519858336,53,4,298.5965269417398,5,45,29.97324090666667,31.09997269333333,3,30.049311883,31.154097691,29.979311883,31.084097691
